ag-cell,ag-cell (2),ag-cell (3),ag-cell (4),ag-cell (5),ag-cell (6),ag-cell (7),ag-cell (8),ag-cell (9),ag-cell (10)
3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9
6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4
8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6
12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70
14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11
15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36
20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6
23,Take It Off,Kesha,dance pop,2010,125,68,73,-5,9
24,Misery,Maroon 5,pop,2010,103,81,70,-5,22
25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,28
26,Animal,Neon Trees,indie pop,2010,148,83,48,-6,38
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,5
28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,6
29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13
30,California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,18
31,3,Britney Spears,dance pop,2010,135,71,70,-2,14
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,36
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,42
34,Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,31
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,13
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,13
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,13
38,If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,37
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,43
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,12
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,10
43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,65
44,Loca,Shakira,colombian pop,2010,112,87,80,-4,9
45,You Lost Me,Christina Aguilera,dance pop,2010,43,39,23,-6,14
46,Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,76,-5,56
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,91,95,64,-4,18
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8
49,Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2010,80,86,45,-5,26
50,Break Your Heart,Taio Cruz,dance pop,2010,122,90,67,-5,8
51,Hello,Martin Solveig,big room,2010,128,98,67,-3,10
52,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11
53,Someone Like You,Adele,british soul,2011,135,33,56,-8,10
54,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30
55,Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9
56,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5
57,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32
59,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60
60,Grenade,Bruno Mars,pop,2011,110,56,71,-7,12
61,Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16
62,What the Hell,Avril Lavigne,canadian pop,2011,150,93,58,-4,14
63,Born This Way,Lady Gaga,dance pop,2011,124,83,59,-5,33
64,Monster,Kanye West,chicago rap,2011,125,69,63,-6,67
65,Marry You,Bruno Mars,pop,2011,145,83,62,-5,10
66,Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,55,-4,9
67,Party Rock Anthem,LMFAO,dance pop,2011,130,74,75,-4,27
68,We R Who We R,Kesha,dance pop,2011,120,82,74,-5,12
69,Price Tag,Jessie J,australian pop,2011,175,83,64,-4,27
70,Good Life,OneRepublic,dance pop,2011,95,69,63,-8,13
71,Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,94,63,66,-9,11
72,On The Floor,Jennifer Lopez,dance pop,2011,130,78,73,-5,7
73,What's My Name?,Rihanna,barbadian pop,2011,100,79,69,-3,8
74,Yeah 3x,Chris Brown,dance pop,2011,130,88,71,-3,9
75,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16
76,Sexy And I Know It,LMFAO,dance pop,2011,130,86,71,-4,19
77,The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,58,-6,11
78,E.T.,Katy Perry,dance pop,2011,152,87,62,-5,37
79,Till the World Ends,Britney Spears,dance pop,2011,132,71,69,-6,20
